taxon_id,rank,organism_name,parent,parent_rank
186783,genus,Ourmiavirus,10239,superkingdom
187213,genus,Rudivirus,157897,family
189290,genus,Meloidogyne,315429,family
189384,genus,Candidatus Tremblaya,28216,class
189450,genus,Papiliotrema,1581159,family
190972,genus,Sedimentibacter,1737404,class
191301,genus,Caminibacter,224467,family
191494,genus,Conexibacter,320583,family
191767,genus,Plesiocystis,224463,family
196118,genus,Methanocaldococcus,196117,family
197911,genus,Influenzavirus A,11308,family
198251,genus,Candidatus Pelagibacter,1655514,family
199307,genus,Endocronartium,27352,family
199703,genus,Okavirus,199704,family
200414,genus,Caldisphaera,255472,family
202696,genus,Jaapia,721929,family
203525,genus,Cystobasidium,34418,family
207599,genus,Solirubrobacter,320599,family
208215,genus,Parvularcula,255474,family
211163,genus,Rotylenchulus,211158,family
212743,genus,Rhizobacter,80840,order
212791,genus,Enhydrobacter,204441,order
213485,genus,Micavibrio,28211,class
215251,genus,Meira <fungus>,190068,family
215802,genus,Enhygromyxa,29,order
217161,genus,Chamaesiphon,1118,order
221102,genus,Moniliophthora,654128,family
221282,genus,Mastigocladopsis,1189,order
224419,genus,Shiraia,92860,order
226991,genus,Cyphellophora,1341112,family
227085,genus,Bigelowiella,2759,superkingdom
227307,genus,Gyrovirus,39724,family
230494,genus,Reinekea,255527,family
232799,genus,Iflavirus,699189,family
233189,genus,Anaerolinea,292628,family
233191,genus,Caldilinea,475964,family
239759,genus,Alistipes,171550,family
239934,genus,Akkermansia,1647988,family
241421,genus,Crinalium,1150,order
241477,genus,Soboliphyme,241476,family
242605,genus,Luteibacter,1775411,family
244364,genus,Methylohalobius,1486721,family
245561,genus,Acidomyces,147541,class
249585,genus,Whispovirus,196937,family
249589,genus,Avastrovirus,39733,family
251096,genus,Babuvirus,251095,family
252965,genus,Mahella,543372,family
254250,genus,Isoptericola,85017,family
256616,genus,Parvibaculum,119043,family
256846,genus,Lentisphaera,566277,family
261684,genus,Thermosinus,1843490,family
262406,genus,Thermobaculum,2,superkingdom
263510,genus,Crocosphaera,1118,order
265084,genus,Preussia <ascomycete fungus>,55176,family
265570,genus,Sulfurovum,29547,class
267986,genus,Owenweeksia,246874,family
269258,genus,Nitratiruptor,29547,class
269260,genus,Nitratifractor,213849,order
270497,genus,Catabacter,424536,family
276836,genus,Rozella,1031332,phylum
281119,genus,Candidatus Amoebophilus,1501348,family
281472,genus,Jiangella,1217100,family
283168,genus,Odoribacter,1853231,family
284134,genus,Sarocladium,5125,order
285810,genus,Pyrenochaeta,221670,family
286114,genus,Synchytrium,286113,family
286660,genus,Peltaster <ascomycete fungus>,147541,class
286801,genus,Segniliparus,316606,family
288021,genus,Kordiimonas,1331809,family
290180,genus,Roseivirga,200667,family
