taxon_id,rank,organism_name,parent,parent_rank
558314,family,Desulfurobacteriaceae,1485951,order
563835,family,Chitinophagaceae,1853229,order
563843,family,Rhodothermaceae,1100069,order
564644,family,Endornaviridae,10239,superkingdom
566277,family,Lentisphaeraceae,278081,order
568247,family,Ophioviridae,10239,superkingdom
568386,family,Sinobacteraceae,1775403,order
570265,family,Methanocellaceae,570264,order
573053,family,Ampullaviridae,10239,superkingdom
574976,family,Holophagaceae,574975,order
580372,family,Mariprofundaceae,580371,order
585893,family,Picobirnaviridae,10239,superkingdom
589343,family,Geminigeraceae,589342,order
596498,family,Nitriliruptoraceae,596497,order
597359,family,Kiloniellaceae,597358,order
622451,family,Actinopolysporaceae,622450,order
641876,family,Elusimicrobiaceae,641854,order
649777,family,Synergistaceae,649776,order
666507,family,Phycisphaeraceae,666506,order
675071,family,Virgaviridae,10239,superkingdom
681950,family,Glomerellaceae,1028384,order
683158,family,Didymellaceae,92860,order
687329,family,Anelloviridae,10239,superkingdom
693073,family,Caldisericaceae,693072,order
717964,family,Methylacidiphilaceae,717963,order
721929,family,Jaapiaceae,721927,order
742031,family,Salinisphaeraceae,742030,order
742845,family,Malasseziaceae,162474,order
742847,family,Ceraceosoraceae,742846,order
767018,family,Diaporthaceae,5114,order
768668,family,Thermogemmatisporaceae,768667,order
795749,family,Ignavibacteriaceae,795748,order
866787,family,Alvernaviridae,10239,superkingdom
871007,family,Acidilobaceae,871006,order
909930,family,Acidaminococcaceae,1843488,order
944644,family,Marseilleviridae,10239,superkingdom
1028423,family,Ceratocystidaceae,5592,order
1033997,family,Nitrososphaeraceae,1033996,order
1077264,family,Chthonomonadaceae,1077263,order
1111112,family,Sympoventuriaceae,1111111,order
1115744,family,Physaraceae,5789,order
1127830,family,Candidatus Brocadiaceae,1127829,order
1129771,family,Leptotrichiaceae,203491,order
1131320,family,Euglenaceae,86650,order
1131492,family,Aspergillaceae,5042,order
1136790,family,Chrysochromulinaceae,73028,order
1154585,family,Gaiellaceae,1154584,order
1156497,family,Pichiaceae,4892,order
1163720,family,Leucosporidiaceae,231212,order
1191479,family,Magnetococcaceae,1191478,order
1202464,family,Dehalococcoidaceae,1202465,order
1217100,family,Jiangellaceae,1217098,order
1229510,family,Hydnodontaceae,452343,order
1240483,family,Orbaceae,1240482,order
1283207,family,Alphatetraviridae,10239,superkingdom
1283208,family,Carmotetraviridae,10239,superkingdom
1283210,family,Permutotetraviridae,10239,superkingdom
1285587,family,Bidnaviridae,10239,superkingdom
1285590,family,Hytrosaviridae,10239,superkingdom
1285596,family,Megabirnaviridae,10239,superkingdom
1299296,family,Quadriviridae,10239,superkingdom
1331809,family,Kordiimonadaceae,362534,order
1339694,family,Geminibasidiaceae,1339693,order
1382930,family,Ardenticatenaceae,1382929,order
1400857,family,Competibacteraceae,1236,class
1442156,family,Ferrovaceae,1442155,order
1505234,family,Chitinivibrionaceae,1505233,order
1511852,family,Nudiviridae,10239,superkingdom
1511858,family,Turriviridae,10239,superkingdom
1511860,family,Amalgaviridae,10239,superkingdom
1513233,family,Benyviridae,10239,superkingdom
1559980,family,Sulfuricellaceae,1559979,order
1570301,family,Aureobasidiaceae,5014,order
1570339,family,Peptoniphilaceae,1737405,order
1577788,family,Methanomassiliicoccaceae,1235850,order
1639119,family,Plasmodiidae,5819,order
1643685,family,Borreliaceae,136,order
1643824,family,Atopobiaceae,84999,order
1643826,family,Eggerthellaceae,1643822,order
1643948,family,Kosmotogaceae,1643946,order
1644056,family,Haloferacaceae,1644055,order
